Factors for n=0
-727380068 : 2*2*11969*15193
-727380067 : 3467*3467*209801
-727380066 : 2*3*7*7*617*28069
-727380064 : 2*2*2*2*2
-727380063 : 3*3*31
-727380062 : 2*223
-727380060 : 2*2*3*5*11*23*47917
-727380059 : 7*7*19*29*29*929
-727380058 : 2*157
-727380057 : 3*41*173*34183
-727380056 : 2*2*2*13*13*53*10151
-727380055 : 5
-727380054 : 2*3*3*3*3*3*3*17*17*127*367
-727380053 : 467
-727380052 : 2*2*7
-727380051 : 3
-727380050 : 2*5*5*139*104659
-727380049 : 11
-727380048 : 2*2*2*2*3*577*26263*26263
-727380046 : 2
-727380045 : 3*3*5*5*7*43*83*83*647
-727380044 : 2*2
-727380043 : 13*61*917251
-727380042 : 2*3*3*4423*4423*27409
-727380040 : 2*2*2*5*19*37*25867
-727380039 : 3
-727380038 : 2*7*11
-727380037 : 17*23*47*39581
-727380036 : 2*2*3*3
-727380035 : 269
-727380034 : 2*5623*5623*64679
-727380033 : 3
-727380032 : 2*2*2*2*2*2*31*31*523*523*701
-727380031 : 7*7
-727380030 : 2*3*5*5*13*29*73
-727380028 : 2*2*229*787*1009
-727380027 : 3*3*3*11
-727380026 : 2*103
-727380025 : 5*5*59*493139
-727380024 : 2*2*2*3*7*199*21757
-727380023 : 167*2087*2087
-727380022 : 2*11927*30493
-727380021 : 3*19*281*45413
-727380020 : 2*2*5*17
-727380019 : 71*1697*6037
-727380018 : 2*3*3*79*511519
-727380017 : 7*13
-727380016 : 2*2*2*2*11*41*100801
-727380015 : 3*5*3299*14699
-727380014 : 2*23
-727380012 : 2*2*3*307*347*569
-727380011 : 97
-727380010 : 2*5*7*7
-727380009 : 3*3*239*338159
-727380008 : 2*2*2*107*849743
-727380007 : 2953*246319
-727380006 : 2*3*67
-727380005 : 5*11*11*149*8069
-727380004 : 2*2*13
-727380003 : 3*7*17*37*53*1039
-727380002 : 2*19*43*163*2731
-727380001 : 29*31*89*9091
-727380000 : 2*2*2*2*2*3*3*3*3*5*5*5*5*449
-727379999 : 109*1847*3613
-727379998 : 2
-727379997 : 3
-727379996 : 2*2*7
-727379995 : 5
-727379994 : 2*3*11*181*60889
-727379993 : 1301*559093
-727379992 : 2*2*2
-727379991 : 3*3*13*23*137*1973
-727379990 : 2*5*47*809*1913
-727379989 : 7*131*271*2927
-727379988 : 2*2*3
-727379987 : 4159*174893
-727379986 : 2*17*151*141679
-727379985 : 3*5
-727379984 : 2*2*2*2*971*46819
-727379983 : 11*19*19*113*1621
-727379982 : 2*3*3*7*61*101*937
-727379980 : 2*2*5
-727379979 : 3
-727379978 : 2*13*439*63727
-727379977 : 25523*28499
-727379976 : 2*2*2*3
-727379975 : 5*5*7*41*101377
-727379974 : 2*683*532489
-727379973 : 3*3*3
-727379972 : 2*2*11*29*570047
-727379971 : 4273*170227
-727379970 : 2*3*5*31*782129
-727379969 : 17*3343*12799
